mJtTure-mJtInput (GeV),lambdaTrue,Significance (sigma)
-0.66,0.274,9.596641868
-0.66,0.2786,10.11258899
-0.66,0.2832,10.64840292
-0.66,0.2878,11.20463041
-0.66,0.2924,11.78183307
-0.66,0.297,12.38058799
-0.66,0.3016,13.00148818
-0.66,0.3062,13.64514313
-0.66,0.3108,14.31217928
-0.66,0.3154,15.00324059
-0.66,0.32,15.71898904
-0.528,0.274,9.047628343
-0.528,0.2786,9.537885072
-0.528,0.2832,10.04741662
-0.528,0.2878,10.5767855
-0.528,0.2924,11.1265711
-0.528,0.297,11.69737031
-0.528,0.3016,12.28979809
-0.528,0.3062,12.90448809
-0.528,0.3108,13.54209321
-0.528,0.3154,14.20328627
-0.528,0.32,14.88876054
-0.396,0.274,8.275910967
-0.396,0.2786,8.728099799
-0.396,0.2832,9.198479006
-0.396,0.2878,9.687615462
-0.396,0.2924,10.19609506
-0.396,0.297,10.72452343
-0.396,0.3016,11.27352663
-0.396,0.3062,11.84375189
-0.396,0.3108,12.43586832
-0.396,0.3154,13.05056765
-0.396,0.32,13.68856494
-0.264,0.274,7.333417402
-0.264,0.2786,7.736598797
-0.264,0.2832,8.156330761
-0.264,0.2878,8.593164761
-0.264,0.2924,9.047673312
-0.264,0.297,9.520450854
-0.264,0.3016,10.01211464
-0.264,0.3062,10.52330562
-0.264,0.3108,11.05468937
-0.264,0.3154,11.60695701
-0.264,0.32,12.18082606
-0.132,0.274,6.345226505
-0.132,0.2786,6.693029384
-0.132,0.2832,7.055169216
-0.132,0.2878,7.432150328
-0.132,0.2924,7.824499649
-0.132,0.297,8.232767838
-0.132,0.3016,8.657530427
-0.132,0.3062,9.099388993
-0.132,0.3108,9.558972334
-0.132,0.3154,10.03693766
-0.132,0.32,10.53397181
0,0.274,5.532207699
0,0.2786,5.827494539
0,0.2832,6.134411128
0,0.2878,6.453364602
0,0.2924,6.784784813
0,0.297,7.129125838
0,0.3016,7.486867532
0,0.3062,7.858517131
0,0.3108,8.244610882
0,0.3154,8.645715716
0,0.32,9.06243094
0.132,0.274,5.17146324
0.132,0.2786,5.431765177
0.132,0.2832,5.700906441
0.132,0.2878,5.979129846
0.132,0.2924,6.266696522
0.132,0.297,6.563887842
0.132,0.3016,6.871007448
0.132,0.3062,7.188383399
0.132,0.3108,7.516370425
0.132,0.3154,7.855352283
0.132,0.32,8.205744217
0.264,0.274,5.402150277
0.264,0.2786,5.65834037
0.264,0.2832,5.921470901
0.264,0.2878,6.191590355
0.264,0.2924,6.468753904
0.264,0.297,6.753025103
0.264,0.3016,7.044477771
0.264,0.3062,7.34319804
0.264,0.3108,7.649286616
0.264,0.3154,7.962861228
0.264,0.32,8.284059305
0.396,0.274,6.071806027
0.396,0.2786,6.352690162
0.396,0.2832,6.640170954
0.396,0.2878,6.934162763
0.396,0.2924,7.234574055
0.396,0.297,7.541308233
0.396,0.3016,7.854264618
0.396,0.3062,8.173339571
0.396,0.3108,8.498427792
0.396,0.3154,8.829423793
0.396,0.32,9.166223581
0.528,0.274,6.905285968
0.528,0.2786,7.225290512
0.528,0.2832,7.552711004
0.528,0.2878,7.887412001
0.528,0.2924,8.229244606
0.528,0.297,8.578046596
0.528,0.3016,8.933642608
0.528,0.3062,9.295844425
0.528,0.3108,9.664451348
0.528,0.3154,10.03925067
0.528,0.32,10.42001829
0.66,0.274,7.699553676
0.66,0.2786,8.060265729
0.66,0.2832,8.429693204
0.66,0.2878,8.807704351
0.66,0.2924,9.194150874
0.66,0.297,9.58886766
0.66,0.3016,9.991672556
0.66,0.3062,10.40236617
0.66,0.3108,10.82073172
0.66,0.3154,11.24653497
0.66,0.32,11.67952414
